fire1_id,fire1_date,fire1_latitude,fire1_longitude,fire2_id,fire2_date,fire2_latitude,fire2_longitude,distance_km,duration_min
9040829,2018-08-02 19:15:00,46.73,-119.34,9218948,2018-07-26 13:00:00,44.01,-116.15,571.1812,459.4116666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9227888,2018-08-06 19:05:00,47.51,-117.67,173.7237,125.34666666666666
9040829,2018-08-02 19:15:00,46.73,-119.34,9228131,2018-08-06 19:07:30,39.75,-111.45,1209.5541,800.685
9040829,2018-08-02 19:15:00,46.73,-119.34,9228844,2018-08-06 19:45:00,47.98,-119.42,178.7609,166.67999999999998
9040829,2018-08-02 19:15:00,46.73,-119.34,9231325,2018-08-03 15:45:00,33.34,-97.62,2975.3934,1981.3983333333333
9040829,2018-08-02 19:15:00,46.73,-119.34,9231453,2018-08-03 18:30:00,41.81,-112.67,928.3644,624.95
9040829,2018-08-02 19:15:00,46.73,-119.34,9231915,2018-08-04 06:00:00,32.47,-98.57,2922.3037000000004,2005.05
9040829,2018-08-02 19:15:00,46.73,-119.34,9232042,2018-08-03 14:00:00,35.4,-118.77,1605.6238999999998,1193.8916666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9250771,2018-08-02 19:45:00,36.36,-112.3,1693.1608999999999,1362.7933333333335
9040829,2018-08-02 19:15:00,46.73,-119.34,9251016,2018-07-27 17:00:00,40.5,-112.96,1184.4581,837.525
9040829,2018-08-02 19:15:00,46.73,-119.34,9251374,2018-07-29 19:30:00,39.3,-109.87,1465.8477,1182.105
9040829,2018-08-02 19:15:00,46.73,-119.34,9255966,2018-07-28 14:15:00,38.46,-111.48,1412.1532,1082.4466666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9256131,2018-07-27 19:30:00,47.79,-119.98,211.3606,180.44
9040829,2018-08-02 19:15:00,46.73,-119.34,9268919,2018-07-28 08:30:00,47.03,-121.7,274.1105,263.27833333333336
9040829,2018-08-02 19:15:00,46.73,-119.34,9269467,2018-07-28 01:00:00,34.61,-110.82,2042.6426000000001,1462.87
9041592,2018-08-05 13:30:00,40.71,-110.94,9041835,2018-08-02 07:07:30,45.42,-121.24,1224.0932,806.8666666666667
9041592,2018-08-05 13:30:00,40.71,-110.94,9043001,2018-08-02 13:30:00,41.96,-113.82,390.3509,347.49666666666667
